imdb,year,title,code
tf0120768,1998,The Negotiator,Update
tf0120780,1998,Out of Sight,Update
tf0120784,1999,Payback,Update
tf0120791,1998,Practical Magic,Update
tf0120794,1998,The Prince of Egypt,Update
tf0120800,1998,Quest for Camelot,Update
tf0120804,2002,Resident Evil,Update
tf0120812,1998,Rush Hour,Update
tf0120813,1998,Safe Men,Update
tf0120815,1998,Saving Private Ryan,Update
tf0120828,1998,Six Days Seven Nights,Update
tf0120831,1998,Slums of Beverly Hills,Update
tf0120844,1998,Star Trek: Insurrection,Update
tf0120855,1999,Tarzan,Update
tf0120863,1998,The Thin Red Line,Update
tf0120877,1998,Vampires (John Carpenter&#39;s),Update
tf0120879,1998,Velvet Goldmine,Update
tf0120890,1998,Wild Things,Update
tf0120891,1999,Wild Wild West,Update
tf0120903,2000,X-Men,Update
tf0120912,2002,Men in Black II,Update
tf0120913,2000,Titan A.E.,Update
tf0120915,1999,Star Wars: Episode I - The Phantom Menace,Update
tf0120917,2000,The Emperor&#39;s New Groove,Update
tf0121164,2005,Corpse Bride,Update
tf0121765,2002,Star Wars: Episode II - Attack of the Clones,Update
tf0121766,2005,Star Wars: Episode III - Revenge of the Sith,Update
tf0122459,2000,Return to Me,Update
tf0122718,1998,Small Soldiers,Update
tf0122933,1999,Analyze This,Update
tf0124819,1997,Orgazmo,Update
tf0125439,1999,Notting Hill,Update
tf0126029,2001,Shrek,Update
tf0126886,1999,Election,Update
tf0126916,1999,For Love of the Game,Update
tf0127536,1998,Elizabeth,Update
tf0128442,1998,Rounders,Update
tf0128445,1998,Rushmore,Update
tf0128853,1998,You&#39;ve Got Mail,Update
tf0128996,1997,Cinderella,Update
tf0129167,1999,The Iron Giant,Update
tf0129332,1999,Ravenous,Update
tf0129387,1998,There&#39;s Something About Mary,Update
tf0130827,1998,Run Lola Run,Update
tf0131646,1999,Wing Commander,Update
tf0132347,1999,Mystery Men,Update
tf0133093,1999,The Matrix,Update
tf0133240,2002,Treasure Planet,Update
tf0133751,1998,The Faculty,Update
tf0134084,2000,Scream 3,Update
tf0134119,1999,The Talented Mr. Ripley,Update
tf0134273,1999,8MM,Update
tf0134619,1998,Disturbing Behavior,Update
tf0134847,2000,Pitch Black,Update
tf0137523,1999,Fight Club,Update
tf0138097,1998,Shakespeare in Love,Update
tf0138704,1998,Pi,Update
tf0138749,2000,The Road to El Dorado,Update
tf0139134,1999,Cruel Intentions,Update
tf0139239,1999,Go!,Update
tf0139654,2001,Training Day,Update
tf0142032,2000,Dune,Update
tf0144084,2000,American Psycho,Update
tf0144117,1999,The Boondock Saints,Update
tf0144120,1998,Bride of Chucky,Update
tf0144168,1999,Dick,Update
tf0144640,1999,Three to Tango,Update
tf0144814,1999,Carrie 2: The Rage,Update
tf0145487,2002,Spider-Man,Update
tf0145660,1999,Austin Powers: The Spy Who Shagged Me,Update
tf0146309,2000,Thirteen days,Update
tf0146316,2001,Lara Croft: Tomb Raider,Update
tf0146336,1998,Urban Legend,Update
tf0146882,2000,High Fidelity,Update
tf0147004,1998,Little Voice,Update
tf0147612,1998,Happiness,Update
tf0147800,1999,10 Things I Hate About You,Update
tf0149691,1999,Anywhere But Here,Update
tf0151568,1999,Topsy-Turvy,Update
tf0151804,1999,Office Space,Update
tf0154420,1998,Festen (The Celebration),Update
tf0155711,1999,Flawless,Update
tf0155776,1999,Jawbreaker,Update
tf0157503,1999,Drop Dead Gorgeous,Update
tf0158811,1999,Muppets From Space,Update
tf0158983,1999,South Park: Bigger Longer &amp; Uncut,Update
tf0159365,2003,Cold Mountain,Update
tf0160127,2000,Charlie&#39;s Angels,Update
tf0160399,2001,Impostor,Update
tf0161081,2000,What Lies Beneath,Update
tf0161860,2001,Nowhere in Africa,Update
tf0162222,2000,Cast Away,Update
tf0162346,2001,Ghost World,Update
tf0162661,1999,Sleepy Hollow,Update
tf0162973,1998,Get Real,Update
tf0163651,1999,American Pie,Update
tf0163978,2000,The Beach,Update
tf0164052,2000,Hollow Man,Update
tf0164334,2001,Along Came A Spider,Update
tf0164912,1999,Stuart Little,Update
tf0165643,1999,Black and White,Update
tf0165929,2000,Romeo Must Die,Update
tf0165982,2003,Sinbad: Legend of the Seven Seas,Update
tf0166276,2001,Monkeybone,Update
tf0166485,1999,Anna and the King,Update
tf0166813,2002,Spirit: Stallion of the Cimarron,Update
tf0166924,2001,Mulholland Dr.,Update
tf0167190,2004,Hellboy,Update
tf0167260,2003,The Lord of the Rings: The Return of the King,Update
tf0167261,2002,The Lord of the Rings: The Two Towers,Update
tf0167404,1999,The Sixth Sense,Update
tf0168629,2000,Dancer in the Dark,Update
tf0168786,2002,Antwone Fisher,Update
tf0169547,1999,American Beauty,Update
tf0171363,1999,The Haunting,Update
tf0171804,1999,Boys Don&#39;t Cry,Update
tf0172493,1999,"Girl, Interrupted",Update
tf0172495,2000,Gladiator,Update
tf0173716,2000,Cecil B. Demented,Update
tf0175880,1999,Magnolia,Update
tf0177789,1999,Galaxy Quest,Update
tf0179116,1999,But I&#39;m a Cheerleader,Update
tf0180052,2002,The Adventures of Pluto Nash,Update
tf0180093,2000,Requiem for a Dream,Update
tf0181316,1999,Blue Streak,Update
tf0181689,2002,Minority Report,Update
tf0181739,2001,Osmosis Jones,Update
tf0181852,2003,Terminator 3: Rise of the Machines,Update
tf0181875,2000,Almost Famous,Update
tf0181984,2000,Boiler Room,Update
tf0182508,2000,Urbania,Update
tf0183523,2000,Mission to Mars,Update
tf0183649,2002,Phone Booth,Update
tf0183790,2001,A Knight&#39;s Tale,Update
tf0184894,2000,Shanghai Noon,Update
tf0185431,2000,Little Nicky,Update
tf0185937,1999,The Blair Witch Project,Update
tf0187078,2000,Gone in Sixty Seconds,Update
tf0187393,2000,The Patriot,Update
tf0187738,2002,Blade II,Update
tf0190138,2000,The Whole Nine Yards,Update
tf0190332,2000,"Wo hu cang long (Crouching Tiger, Hidden Dragon)",Update
tf0190590,2000,"O Brother, Where Art Thou?",Update
tf0190641,1999,Pocket Monsters: Mewtwo Strikes Back!,Update
tf0190865,2000,Vertical Limit,Update
tf0191754,2000,28 Days,Update
tf0195234,2000,Saving Grace,Update
tf0195685,2000,Erin Brockovich,Update
tf0195714,2000,Final Destination,Update
tf0196229,2001,Zoolander,Update
tf0198021,2000,Where the Heart Is,Update
tf0198781,2001,"Monsters, Inc.",Update
tf0199626,2003,In the Cut,Update
tf0199725,2000,Love &amp; Basketball,Update
tf0199753,2000,Red Planet,Update
tf0200465,2008,The Bank Job,Update
tf0200550,2000,Coyote Ugly,Update
tf0202677,2000,The Way of the Gun,Update
tf0203009,2001,Moulin Rouge!,Update
tf0203119,2000,Sexy Beast,Update
tf0204946,2000,Bring It On,Update
tf0206275,2001,Save the Last Dance,Update
tf0206634,2006,Children of Men,Update
tf0207201,2000,What Women Want,Update
tf0208092,2000,Snatch.,Update
tf0209144,2000,Memento,Update
tf0209475,2001,The Wedding Planner,Update
tf0209958,2000,The Cell,Update
tf0210299,2000,Songcatcher,Update
tf0210616,2000,Center Stage,Update
tf0210945,2000,Remember the Titans,Update
tf0211443,2001,Jason X,Update
tf0212338,2000,Meet the Parents,Update
tf0212346,2000,Miss Congeniality,Update
tf0212712,2004,2046,Update
tf0212720,2001,Artificial Intelligence: AI,Update
tf0212985,2001,Hannibal,Update
tf0213149,2001,Pearl Harbor,Update
tf0213203,2000,Rugrats in Paris:,Update
tf0217505,2002,Gangs of New York,Update
tf0217869,2000,Unbreakable,Update
tf0218817,2001,Antitrust,Update
tf0218839,2000,Best in Show,Update
tf0219699,2000,The Gift,Update
tf0221027,2001,Blow,Update
tf0221218,2001,The Glass House,Update
tf0221889,2000,Beautiful Creatures,Update
tf0227538,2001,Spy Kids,Update
tf0230011,2001,Atlantis: The Lost Empire,Update
tf0230600,2001,The Others,Update
tf0232500,2001,The Fast and the Furious,Update
tf0234215,2003,The Matrix Reloaded,Update
tf0236348,2001,Josie and the Pussycats,Update
tf0238380,2002,Equilibrium,Update
tf0238546,2002,Queen of the Damned,Update
tf0238924,2002,The Dangerous Lives of Altar Boys,Update
tf0240200,2005,Water,Update
tf0240462,2001,Dr. Dolittle 2,Update
tf0240772,2001,Ocean&#39;s Eleven,Update
tf0241303,2000,Chocolat,Update
tf0241527,2001,Harry Potter and the Sorcerer&#39;s Stone,Update
tf0242423,2000,"Dude, Where&#39;s My Car",Update
tf0242587,2001,L.I.E.,Update
tf0242653,2003,The Matrix Revolutions,Update
tf0242998,2001,Valentine,Update
tf0243155,2001,Bridget Jones&#39;s Diary,Update
tf0244000,2001,American Outlaws,Update
tf0244970,2001,Someone Like You...,Update
tf0245674,2001,Thir13en Ghosts,Update
tf0246460,2002,Die Another Day,Update
tf0246578,2001,Donnie Darko,Update
tf0247638,2001,The Princess Diaries,Update
tf0247745,2001,Super Troopers,Update
tf0248845,2001,Hedwig and the Angry Inch,Update
tf0249462,2000,Billy Elliot,Update
tf0250494,2001,Legally Blonde,Update
tf0251075,2001,Evolution,Update
tf0251127,2003,How to Lose a Guy in 10 Days,Update
tf0252076,2002,Maid in Manhattan,Update
tf0252444,2002,Rabbit-Proof Fence,Update
tf0253126,2001,High Heels and Low Lifes,Update
tf0253556,2002,Reign of Fire,Update
tf0253754,2002,Star Trek: Nemesis,Update
tf0253867,2002,The Sweetest Thing,Update
tf0256380,2001,Shallow Hal,Update
tf0257001,2000,Pokemon: The Movie 2000,Update
tf0257076,2003,S.W.A.T.,Update
tf0257360,2002,About Schmidt,Update
tf0257516,2005,Cursed,Update
